|    name |     cenx |     ceny |      c1x |      c1y |      c2x |      c2y |      c3x |      c3y |      c4x |      c4y |   nx |   ny |    zerox |    zeroy |    xhatx |    xhaty |    yhatx |    yhaty |
| R01_S00 |  -169.26 |  -296.26 |  -189.62 |  -316.26 |   -148.9 |  -316.26 |   -148.9 |  -276.26 |  -189.62 |  -276.26 | 4072 | 4000 | -189.615 | -316.255 | -179.615 | -316.255 | -189.615 | -306.255 |
| R01_S01 |  -127.01 |  -296.26 |  -147.37 |  -316.26 |  -106.65 |  -316.26 |  -106.65 |  -276.26 |  -147.37 |  -276.26 | 4072 | 4000 | -147.365 | -316.255 | -137.365 | -316.255 | -147.365 | -306.255 |
| R01_S02 |   -84.76 |  -296.26 |  -105.12 |  -316.26 |    -64.4 |  -316.26 |    -64.4 |  -276.26 |  -105.12 |  -276.26 | 4072 | 4000 | -105.115 | -316.255 |  -95.115 | -316.255 | -105.115 | -306.255 |
| R01_S10 |  -169.26 |  -254.01 |  -189.62 |  -274.01 |   -148.9 |  -274.01 |   -148.9 |  -234.01 |  -189.62 |  -234.01 | 4072 | 4000 | -189.615 | -274.005 | -179.615 | -274.005 | -189.615 | -264.005 |
| R01_S11 |  -127.01 |  -254.01 |  -147.37 |  -274.01 |  -106.65 |  -274.01 |  -106.65 |  -234.01 |  -147.37 |  -234.01 | 4072 | 4000 | -147.365 | -274.005 | -137.365 | -274.005 | -147.365 | -264.005 |
| R01_S12 |   -84.76 |  -254.01 |  -105.12 |  -274.01 |    -64.4 |  -274.01 |    -64.4 |  -234.01 |  -105.12 |  -234.01 | 4072 | 4000 | -105.115 | -274.005 |  -95.115 | -274.005 | -105.115 | -264.005 |
| R01_S20 |  -169.26 |  -211.76 |  -189.62 |  -231.76 |   -148.9 |  -231.76 |   -148.9 |  -191.76 |  -189.62 |  -191.76 | 4072 | 4000 | -189.615 | -231.755 | -179.615 | -231.755 | -189.615 | -221.755 |
| R01_S21 |  -127.01 |  -211.76 |  -147.37 |  -231.76 |  -106.65 |  -231.76 |  -106.65 |  -191.76 |  -147.37 |  -191.76 | 4072 | 4000 | -147.365 | -231.755 | -137.365 | -231.755 | -147.365 | -221.755 |
| R01_S22 |   -84.76 |  -211.76 |  -105.12 |  -231.76 |    -64.4 |  -231.76 |    -64.4 |  -191.76 |  -105.12 |  -191.76 | 4072 | 4000 | -105.115 | -231.755 |  -95.115 | -231.755 | -105.115 | -221.755 |
| R02_S00 |   -42.26 |  -296.26 |   -62.62 |  -316.26 |    -21.9 |  -316.26 |    -21.9 |  -276.26 |   -62.62 |  -276.26 | 4072 | 4000 |  -62.615 | -316.255 |  -52.615 | -316.255 |  -62.615 | -306.255 |
| R02_S01 |    -0.01 |  -296.26 |   -20.37 |  -316.26 |    20.35 |  -316.26 |    20.35 |  -276.26 |   -20.37 |  -276.26 | 4072 | 4000 |  -20.365 | -316.255 |  -10.365 | -316.255 |  -20.365 | -306.255 |
| R02_S02 |    42.24 |  -296.26 |    21.88 |  -316.26 |     62.6 |  -316.26 |     62.6 |  -276.26 |    21.88 |  -276.26 | 4072 | 4000 |   21.885 | -316.255 |   31.885 | -316.255 |   21.885 | -306.255 |
| R02_S10 |   -42.26 |  -254.01 |   -62.62 |  -274.01 |    -21.9 |  -274.01 |    -21.9 |  -234.01 |   -62.62 |  -234.01 | 4072 | 4000 |  -62.615 | -274.005 |  -52.615 | -274.005 |  -62.615 | -264.005 |
| R02_S11 |    -0.01 |  -254.01 |   -20.37 |  -274.01 |    20.35 |  -274.01 |    20.35 |  -234.01 |   -20.37 |  -234.01 | 4072 | 4000 |  -20.365 | -274.005 |  -10.365 | -274.005 |  -20.365 | -264.005 |
| R02_S12 |    42.24 |  -254.01 |    21.88 |  -274.01 |     62.6 |  -274.01 |     62.6 |  -234.01 |    21.88 |  -234.01 | 4072 | 4000 |   21.885 | -274.005 |   31.885 | -274.005 |   21.885 | -264.005 |
| R02_S20 |   -42.26 |  -211.76 |   -62.62 |  -231.76 |    -21.9 |  -231.76 |    -21.9 |  -191.76 |   -62.62 |  -191.76 | 4072 | 4000 |  -62.615 | -231.755 |  -52.615 | -231.755 |  -62.615 | -221.755 |
| R02_S21 |    -0.01 |  -211.76 |   -20.37 |  -231.76 |    20.35 |  -231.76 |    20.35 |  -191.76 |   -20.37 |  -191.76 | 4072 | 4000 |  -20.365 | -231.755 |  -10.365 | -231.755 |  -20.365 | -221.755 |
| R02_S22 |    42.24 |  -211.76 |    21.88 |  -231.76 |     62.6 |  -231.76 |     62.6 |  -191.76 |    21.88 |  -191.76 | 4072 | 4000 |   21.885 | -231.755 |   31.885 | -231.755 |   21.885 | -221.755 |
| R03_S00 |    84.74 |  -296.26 |    64.38 |  -316.26 |    105.1 |  -316.26 |    105.1 |  -276.26 |    64.38 |  -276.26 | 4072 | 4000 |   64.385 | -316.255 |   74.385 | -316.255 |   64.385 | -306.255 |
| R03_S01 |   126.99 |  -296.26 |   106.63 |  -316.26 |   147.35 |  -316.26 |   147.35 |  -276.26 |   106.63 |  -276.26 | 4072 | 4000 |  106.635 | -316.255 |  116.635 | -316.255 |  106.635 | -306.255 |
| R03_S02 |   169.24 |  -296.26 |   148.88 |  -316.26 |    189.6 |  -316.26 |    189.6 |  -276.26 |   148.88 |  -276.26 | 4072 | 4000 |  148.885 | -316.255 |  158.885 | -316.255 |  148.885 | -306.255 |
| R03_S10 |    84.74 |  -254.01 |    64.38 |  -274.01 |    105.1 |  -274.01 |    105.1 |  -234.01 |    64.38 |  -234.01 | 4072 | 4000 |   64.385 | -274.005 |   74.385 | -274.005 |   64.385 | -264.005 |
| R03_S11 |   126.99 |  -254.01 |   106.63 |  -274.01 |   147.35 |  -274.01 |   147.35 |  -234.01 |   106.63 |  -234.01 | 4072 | 4000 |  106.635 | -274.005 |  116.635 | -274.005 |  106.635 | -264.005 |
| R03_S12 |   169.24 |  -254.01 |   148.88 |  -274.01 |    189.6 |  -274.01 |    189.6 |  -234.01 |   148.88 |  -234.01 | 4072 | 4000 |  148.885 | -274.005 |  158.885 | -274.005 |  148.885 | -264.005 |
| R03_S20 |    84.74 |  -211.76 |    64.38 |  -231.76 |    105.1 |  -231.76 |    105.1 |  -191.76 |    64.38 |  -191.76 | 4072 | 4000 |   64.385 | -231.755 |   74.385 | -231.755 |   64.385 | -221.755 |
| R03_S21 |   126.99 |  -211.76 |   106.63 |  -231.76 |   147.35 |  -231.76 |   147.35 |  -191.76 |   106.63 |  -191.76 | 4072 | 4000 |  106.635 | -231.755 |  116.635 | -231.755 |  106.635 | -221.755 |
| R03_S22 |   169.24 |  -211.76 |   148.88 |  -231.76 |    189.6 |  -231.76 |    189.6 |  -191.76 |   148.88 |  -191.76 | 4072 | 4000 |  148.885 | -231.755 |  158.885 | -231.755 |  148.885 | -221.755 |
| R10_S00 |  -296.26 |  -169.26 |  -316.62 |  -189.26 |   -275.9 |  -189.26 |   -275.9 |  -149.26 |  -316.62 |  -149.26 | 4072 | 4000 | -316.615 | -189.255 | -306.615 | -189.255 | -316.615 | -179.255 |
| R10_S01 |  -254.01 |  -169.26 |  -274.37 |  -189.26 |  -233.65 |  -189.26 |  -233.65 |  -149.26 |  -274.37 |  -149.26 | 4072 | 4000 | -274.365 | -189.255 | -264.365 | -189.255 | -274.365 | -179.255 |
| R10_S02 |  -211.76 |  -169.26 |  -232.12 |  -189.26 |   -191.4 |  -189.26 |   -191.4 |  -149.26 |  -232.12 |  -149.26 | 4072 | 4000 | -232.115 | -189.255 | -222.115 | -189.255 | -232.115 | -179.255 |
| R10_S10 |  -296.26 |  -127.01 |  -316.62 |  -147.01 |   -275.9 |  -147.01 |   -275.9 |  -107.01 |  -316.62 |  -107.01 | 4072 | 4000 | -316.615 | -147.005 | -306.615 | -147.005 | -316.615 | -137.005 |
